date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:52	28970/28970	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2013:56:22%20GMT	https://iqonic.design//themes/profyl/pre-built/doctor/services.html	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/services.html	(from )
22:56:54	76/76	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Sep%202019%2017:26:54%20GMT	https://iqonic.design/robots.txt		(from )
22:56:54	10806/10806	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222a36-57b2d29959319%22	https://iqonic.design//themes/profyl/pre-built/doctor/images/favicon.ico	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/images/favicon.ico	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
22:56:55	124968/124968	---M-Z	200	added ('OK')	text/css	etag:%221e828-57b2d28dcc290-gzip%22	https://iqonic.design//themes/profyl/pre-built/doctor/css/bootstrap.min.css	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/css/bootstrap.min.css	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
22:56:55	17531/17531	---M-Z	200	added ('OK')	text/css	etag:%22447b-57b2d290633f2-gzip%22	https://iqonic.design//themes/profyl/pre-built/doctor/css/themify-icons.css	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/css/themify-icons.css	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
22:56:56	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-57b2d28ec33b1-gzip%22	https://iqonic.design//themes/profyl/pre-built/doctor/css/font-awesome.min.css	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/css/font-awesome.min.css	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
22:56:56	7302/7302	---M-Z	200	added ('OK')	text/css	etag:%221c86-57b2d35ba18e1-gzip%22	https://iqonic.design//themes/profyl/pre-built/doctor/css/magnific-popup/magnific-popup.css	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/css/magnific-popup/magnific-popup.css	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
22:56:56	4830/4830	---M-Z	200	added ('OK')	text/css	etag:%2212de-57b2d35bcf741-gzip%22	https://iqonic.design//themes/profyl/pre-built/doctor/css/owl-carousel/owl.carousel.css	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/css/owl-carousel/owl.carousel.css	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
22:56:57	41343/41343	---M-Z	200	added ('OK')	text/css	etag:%22a17f-57b2d28fb9531-gzip%22	https://iqonic.design//themes/profyl/pre-built/doctor/css/style.css	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/css/style.css	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
22:56:57	9237/9237	---M-Z	200	added ('OK')	text/css	etag:%222415-57b2d28f68451-gzip%22	https://iqonic.design//themes/profyl/pre-built/doctor/css/responsive.css	D:/student%20work/Templates/teacher2/iqonic.design/themes/profyl/pre-built/doctor/css/responsive.css	(from https://iqonic.design//themes/profyl/pre-built/doctor/services.html)
